SentenceID,Sentence,SentimentID
165, Be quiet!,1
166,I order you to be quiet!,1
167," Order, eh?",2
168,Who does he think he is?,2
169,Heh.,3
170, I am your king!,3
171," Well, I didn't vote for you.",1
172, You don't vote for kings.,1
173," Well, how did you become King, then?",3
174," The Lady of the Lake,...",3
175,"...her arm clad in the purest shimmering samite, held aloft Excalibur from the bosom of the water signifying by Divine Providence that I, Arthur, was to carry Excalibur.",3
176,That is why I am your king!,4
177, Listen.,3
178,Strange women lying in ponds distributing swords is no basis for a system of government.,2
179,"Supreme executive power derives from a mandate from the masses, not from some farcical aquatic ceremony.",2
180, Be quiet!,1
181," Well, but you can't expect to wield supreme executive power just 'cause some watery tart threw a sword at you!",2
182, Shut up!,1
183," I mean, if I went 'round saying I was an emperor just because some moistened bint had lobbed a scimitar at me, they'd put me away!",2
184," Shut up, will you?",1
185,Shut up!,1
186," Ah, now we see the violence inherent in the system.",2
187, Shut up!,1
188, Oh!,3
189,Come and see the violence inherent in the system!,1
190,Help!,5
191,Help!,5
192,I'm being repressed!,1
193, Bloody peasant!,1
194," Oh, what a give-away.",2
195,"Did you hear that? Did you hear that, eh?",3
196,That's what I'm on about.,1
197,Did you see him repressing me?,3
198,"You saw it, didn't you?",3
199, Arthur Meets a Brave Knight...and Cuts His Limbs Off,0
200, Aaaagh!,5
201, Aaagh!,5
202, Ooh!,5
203, Aagh!,5
204, Oh!,5
205,Ooh!,5
206,Uuh.,5
207, Aaaagh!,5
208," Agh!, oh!, etc.",5
209, Aaaaaah!,5
210,Aaaaaaaaah!,5
211, Umm!,5
212," You fight with the strength of many men, Sir Knight.",4
213,"I am Arthur, King of the Britons.",3
214,I seek the finest and the bravest knights in the land to join me in my court at Camelot.,4
215,You have proved yourself worthy.,4
216,Will you join me?,3
217,You make me sad.,1
218,So be it.,3
219,"Come, Patsy.",3
220, None shall pass.,3
221, What?,3
222, None shall pass.,3
223," I have no quarrel with you, good Sir Knight, but I must cross this bridge.",1
224, Then you shall die.,1
225," I command you, as King of the Britons, to stand aside!",1
226, I move for no man.,1
227, So be it!,1
228," Aaah!, hiyaah!, etc.",5
229," Now stand aside, worthy adversary.",1
230, 'Tis but a scratch.,4
231, A scratch?,3
232,Your arm's off!,1
233," No, it isn't.",1
234," Well, what's that, then?",3
235, I've had worse.,1
236, You liar!,1
237," Come on, you pansy!",1
238,Huyah!,5
239,Hiyaah!,5
240,Aaaaaaaah!,5
241, Victory is mine!,4
242,"We thank Thee Lord, that in Thy mer--",4
243, Hah!,5
244,"Come on, then.",4
245, What?,3
246, Have at you!,5
247," Eh. You are indeed brave, Sir Knight, but the fight is mine.",3
248," Oh, had enough, eh?",3
249," Look, you stupid bastard.",1
250,You've got no arms left.,1
251," Yes, I have.",4
252, Look!,5
253, Just a flesh wound.,4
254," Look, stop that.",1
255, Chicken!,1
256,Chickennn!,1
257," Look, I'll have your leg.",1
258,Right!,1
259," Right, I'll do you for that!",1
260, You'll what?,3
261, Come here!,1
262," What are you going to do, bleed on me?",2
263, I'm invincible!,4
264, You're a looney.,1
265, The Black Knight always triumphs!,4
266,Have at you!,5
267,"Come on, then.",4
268," Oh? All right, we'll call it a draw.",4
269," Come, Patsy.",3
270," Oh. Oh, I see. Running away, eh?",3
271,You yellow bastards! Come back here and take what's coming to you.,1
272,I'll bite your legs off!,1
273, Witches and How To Build Bridges Out of Them,0
274," [chanting] Pie Iesu domine, dona eis requiem.",0
275,"Pie Iesu domine,...",0
276,...dona eis requiem.,0
277,"Pie Iesu domine,...",0
278,...dona eis requiem.,0
279, A witch! A witch!,5
280,A witch! A witch!,5
281, [chanting] Pie Iesu domine...,0
282, A witch!,5
283,A witch!,5
284,A witch!,5
285,A witch!,5
286,We've found a witch!,5
287,A witch!,5
288,A witch!,5
289,A witch!,5
290,A witch!,5
291,We've got a witch!,5
292,A witch!,5
293,A witch!,5
294,Burn her!,1
295,Burn her!,1
296,Burn her!,1
297,We've found a witch!,5
298,We've found a witch!,5
299,A witch!,5
300,A witch!,5
301,A witch!,5
302, We have found a witch.,3
303,May we burn her?,3
304, Burn her!,1
305,Burn!,1
306,Burn her!,1
307,Burn her!,1
308, How do you know she is a witch?,3
309, She looks like one.,3
310, Right!,5
311,Yeah!,5
312,Yeah!,5
313, Bring her forward.,3
314, I'm not a witch.,1
315,I'm not a witch.,1
316," Uh, but you are dressed as one.",1
317, They dressed me up like this.,3
318," Augh, we didn't!",1
319,We didn't...,1
320, And this isn't my nose.,1
321,It's a false one.,1
322, Well?,3
323," Well, we did do the nose.",4
324, The nose?,3
325," And the hat, but she is a witch!",1
326, Yeah!,5
327, We burn her!,1
328,Right!,5
329,Yeaaah!,5
330,Yeaah!,5
331, Did you dress her up like this?,3
332, No!,1
333, No. No.,1
334, No.,1
335, No.,1
336, No.,1
337, Yes.,4
338, Yes.,4
339, Yes.,4
340,"Yeah, a bit.",4
341, A bit.,4
342, A bit.,4
343, A bit.,4
344, She has got a wart.,1
345, [cough],0
346, What makes you think she is a witch?,3
347," Well, she turned me into a newt.",1
348, A newt?,3
349, I got better.,4
350, Burn her anyway!,1
351, Burn!,1
352, Burn her!,1
353,Burn!,1
354,Burn her!...,1
355, Quiet!,5
356,Quiet!,5
357,Quiet!,5
358,Quiet!,5
359,There are ways of telling whether she is a witch.,3
360, Are there?,3
361, Ah?,3
362, What are they?,3
363, Tell us!,4
364,Tell us!...,4
365, Do they hurt?,3
366, Tell me.,3
367,What do you do with witches?,3
368, Burn!,1
369, Burn!,1
370, Burn!,1
371,Burn them up!,1
372,Burn!...,1
373, And what do you burn apart from witches?,3
374, More witches!,4
375, Shh!,5
376, Wood!,5
377," So, why do witches burn?",3
378, B--... 'cause they're made of... wood?,3
379, Good!,4
380,Heh heh.,5
381," Oh, yeah, oh.",5
382," So, how do we tell whether she is made of wood?",3
383, Build a bridge out of her.,3
384," Ah, but can you not also make bridges out of stone?",3
385," Oh, yeah.",3
386," Oh, yeah, true. Uhh...",3
387, Does wood sink in water?,3
388, No. No.,1
389," No, it floats!",5
390,It floats!,5
391, Throw her into the pond!,4
392, The pond!,5
393,Throw her into the pond!,4
394, What also floats in water?,3
395, Bread!,5
396, Apples!,5
397," Uh, very small rocks!",5
398, Cider!,5
399," Uh, gra-- gravy!",5
400, Cherries!,5
401, Mud!,5
402," Uh, churches!",5
403,Churches!,5
404, Lead!,5
405,Lead!,5
406, A duck!,5
407, Oooh.,5
408, Exactly.,3
409,"So, logically...",3
410," If... she... weighs... the same as a duck,... she's made of wood.",3
411, And therefore?,3
412, A witch!,5
413, A witch!,5
414, A witch!,5
415,A witch!...,5
416, Here is a duck.,3
417,Use this duck.,3
418, Very good. We shall use my largest scales.,4
419, Ohh! Ohh!,5
420,Burn the witch!,5
421,Burn the witch!,5
422,Burn her!,5
423,Burn her!,5
424,Burn her!,5
425,Burn her!,5
426,Burn her!,5
427,Burn her!,5
428,Burn her!,5
429,Ahh!,5
430,Ahh...,5
431, Right. Remove the supports!,3
432, A witch!,5
433,A witch!,5
434,A witch!,5
435, It's a fair cop.,4
436, Burn her!,1
437, Burn her!,1
438,Burn her!,1
439,Burn her!,1
440,Burn!,1
441,Burn!...,1
442, Who are you who are so wise in the ways of science?,3
443," I am Arthur, King of the Britons.",3
444, My liege!,5
445," Good Sir Knight, will you come with me to Camelot and join us at the Round Table?",3
446, My liege!,5
447,I would be honored.,4
448, What is your name?,3
449," 'Bedevere', my liege.",3
450," Then I dub you 'Sir Bedemere, Knight of the Round Table'.",4
451," The wise Sir Bedevere was the first to join King Arthur's knights, but other illustrious names were soon to follow:",0
452,"Sir Lancelot the Brave,",4
453,"Sir Gallahad the Pure,",4
454,"and Sir Robin the-not-quite-so-brave-as-Sir-Lancelot,",1
455,"who had nearly fought the Dragon of Angnor,",1
456,"who had nearly stood up to the vicious Chicken of Bristol,",1
457,"and who had personally wet himself at the Battle of Badon Hill,",1
458,and the aptly named Sir Not-appearing-in-this-film.,2
459, The Knights of the Round Table.,4
460, Camelot is a Silly Place,0
461," And that, my liege, is how we know the earth to be banana-shaped.",4
462," This new learning amazes me, Sir Bedevere.",4
463,Explain again how sheep's bladders may be employed to prevent earthquakes.,4
464," Oh, certainly, sir.",4
465," Look, my liege!",4
466, Camelot!,5
467, Camelot!,5
468, Camelot!,5
469, It's only a model.,1
470," Shh! Knights, I bid you welcome to your new home.",4
471,Let us ride... to... Camelot!,4
472, [singing] We're Knights of the Round Table.,4
473,We dance whene'er we're able.,4
474,We do routines and chorus scenes With footwork impeccable.,4
475,We dine well here in Camelot.,4
476,We eat ham and jam and spam a lot.,4
477,We're Knights of the Round Table.,4
478,"Our shows are formidable,",4
479,But many times we're given rhymes That are quite unsingable.,1
480,We're opera mad in Camelot.,1
481,We sing from the diaphragm a lot.,4
482, [clap clap clap clap],0
483," [tap-dancing] In war we're tough and able,",4
484,Quite indefatigable.,4
485,Between our quests we sequin vests and impersonate Clark Gable.,2
486,It's a busy life in Camelot.,2
487, I have to push the pram a lot.,1
488," Well, on second thought, let's not go to Camelot.",1
489,It is a silly place.,1
490," Right, right.",4
491, God Gives Arthur a Stern Talking To,0
492, Arthur!,5
493,"Arthur, King of the Britons!",5
494,"Oh, don't grovel!",1
495,"One thing I can't stand, it's people groveling.",1
496, Sorry.,1
497, And don't apologize.,1
498,Every time I try to talk to someone it's 'sorry this' and 'forgive me that' and 'I'm not worthy'.,1
499,What are you doing now?!,3
500," I'm averting my eyes, O Lord.",1
501," Well, don't.",1
502,It's like those miserable Psalms-- they're so depressing.,1
503,"Now, knock it off!",1
504," Yes, Lord.",4
505," Right! Arthur, King of the Britons, your Knights of the Round Table shall have a task to make them an example in these dark times.",4
506," Good idea, O Lord!",4
507, 'Course it's a good idea!,2
508,Behold!,5
509,"Arthur, this is the Holy Grail.",3
510,"Look well, Arthur, for it is your sacred task to seek this grail.",3
511, the quest for the Holy Grail.,3
512, A blessing!,4
513,A blessing from the Lord!,4
514, God be praised!,4
515, Why No One Likes The French,0
516, Halt!,5
517,Hallo!,4
518,Hallo!,4
519, Allo!,4
520,Who is eet?,3
521," It is King Arthur, and these are my Knights of the Round Table.",3
522,Whose castle is this?,3
523," This is the castle of my master, Guy de Loimbard.",3
524, Go and tell your master that we have been charged by God with a sacred quest.,3
525,"If he will give us food and shelter for the night, he can join us in our quest for the Holy Grail.",4
526," Well, I'll ask him, but I don't think he'll be very keen.",1
527,"Uh, he's already got one, you see.",1
528, What?,3
529, He says they've already got one!,4
530, Are you sure he's got one?,3
531," Oh, yes. It's very nice-a.",4
532,(I told him we already got one.),3
533, [chuckling],0
534," Well, u-- um, can we come up and have a look?",3
535, Of course not!,1
536,You are English types-a!,1
537," Well, what are you, then?",3
538, I'm French!,3
539,"Why do think I have this outrageous accent, you silly king-a?!",2
540, What are you doing in England?,3
541, Mind your own business!,1
542," If you will not show us the Grail, we shall take your castle by force!",1
543," You don't frighten us, English pig-dogs!",1
544,"Go and boil your bottom, sons of a silly person.",1
545,"I blow my nose at you, so-called Arthur King, you and all your silly English k-nnnnniggits.",1
546,Thpppppt! Thppt! Thppt!,1
547, What a strange person.,1
548," Now look here, my good man--",4
549," I don't wanna talk to you no more, you empty headed animal food trough wiper!",1
550,I fart in your general direction!,1
551,Your mother was a hamster and your father smelt of elderberries!,1
552, Is there someone else up there we could talk to?,3
553, No.,1
554,"Now, go away, or I shall taunt you a second time-a!",1
555," Now, this is your last chance.",1
556,I've been more than reasonable.,1
557, (Fetchez la vache.),3
558, Quoi?,3
559, (Fetchez la vache!),3
560," If you do not agree to my commands, then I shall--",1
561,Jesus Christ!,5
562, Christ!,5
563,Ah! Ohh!...,5
564, Right! Charge!,5
565, Charge!,5
566," Hey, this one is for your mother! There you go.",1
567, And this one's for your dad!,1
568, Run away!,1
569, Run away!,1
570, Thppppt!,1
571, [taunting],1
572, Fiends!,1
573,I'll tear them apart!,1
574," No, no. No, no.",1
575, Sir!,4
576,"I have a plan, sir.",4
577," [whispering] C'est un lapin, lapin de bois.",3
578,Quoi?,3
579,Un cadeau.,4
580,What?,3
581,A present.,4
582,"Oh, un cadeau.",4
583,"Oui, oui.",4
584,Allons-y.,3
585,What? Let's go.,4
586,Oh. On y va.,4
587,Bon magne.,4
588,Over here...,3
589, What happens now?,3
590," Well, now, uh, Lancelot, Galahad, and I, uh, wait until nightfall, and then leap out of the rabbit, taking the French, uh, by surprise.",1
591,"Not only by surprise, but totally unarmed!",1
592, Who leaps out?,3
593," U-- u-- uh, Lancelot, Galahad, and I, uh, leap out of the rabbit, uh, and uh...",3
594, Ohh.,5
595," Oh. Um, l-- look, i-- i-- if we built this large wooden badger--",4
596, Run away!,5
597, Run away!,5
598,Run away!,5
599,Run away!,5
600,Run away!,5
601,Run away!,5
602,Run away!,5
603,Run away!,5
604," Oh, haw haw haw haw! Haw! Haw haw heh...",5
605, Sir Robin's Minstrals Turn Nasty,0
606, The Tale of Sir Robin.,0
607,"So, each of the knights went their separate ways.",3
608,"Sir Robin rode north, through the dark forest of Ewing, accompanied by his favorite minstrels.",4
609, [singing] Bravely bold Sir Robin rode forth from Camelot.,4
610,"He was not afraid to die, O brave Sir Robin.",1
611,"He was not at all afraid to be killed in nasty ways, Brave, brave, brave, brave Sir Robin!",1
612,"He was not in the least bit scared to be mashed into a pulp,",1
613,"Or to have his eyes gouged out and his elbows broken, To have his kneecaps split and his body burned away And his limbs all hacked and mangled, brave Sir Robin!",1
614,His head smashed in and his heart cut out And his liver removed and his bowels unplugged And his nostrils raped and his bottom burned off And his pen--,1
615," That's-- that's, uh-- that's enough music for now, lads. Heh.",1
616,Looks like there's dirty work afoot.,1
617, Anarcho-syndicalism is a way of preserving freedom.,4
618," Oh, Dennis, forget about freedom.",1
619,Don't drop that mud.,1
620, Halt!,5
621,Who art thou?,3
622," [singing] He is brave Sir Robin, brave Sir Robin, who--",4
623," Shut up! Um, n-- n-- n-- nobody, really. I'm j-- j-- j-- ju-- just, um-- just passing through.",1
624, What do you want?,3
625, [singing] To fight and--,1
626, Shut up!,1
627,"Um, oo, a-- nothing. Nothing, really. I, uh-- j-- j-- just-- just to, um-- just to p-- pass through, good Sir Knight.",1
628, I'm afraid not!,1
629," Ah. W-- well, actually I-- I am a Knight of the Round Table.",4
630, You're a Knight of the Round Table?,3
631, I am.,3
632," In that case, I shall have to kill you.",1
633, Shall I?,3
634," Oh, I don't think so.",1
635," Well, what do I think?",3
636, I think kill him.,1
637," Oh, let's be nice to him.",4
638," Oh, shut up.",1
639, Perhaps I could--,4
640," And you. Oh, quick!",5
641,Get the sword out.,1
642,I want to cut his head off!,1
643," Oh, cut your own head off!",1
644," Yes, do us all a favor!",1
645, What?,3
646, Yapping on all the time.,1
647, You're lucky.,2
648,You're not next to him.,1
649, What do you mean?,3
650, You snore!,1
651," Oh, I don't.",1
652,"Anyway, you've got bad breath.",1
653," Well, it's only because you don't brush my teeth.",1
654," Oh, stop bitching and let's go have tea.",1
655," Oh, all right.",4
656,"All right, all right.",4
657,We'll kill him first and then have tea and biscuits.,1
658, Yes.,4
659," Oh, not biscuits.",1
660," All right, all right, not biscuits, but let's kill him anyway.",1
661, Right!,4
662, He buggered off.,3
663, So he has.,3
664,He's scarpered.,1
665," [singing] Brave Sir Robin ran away,",2
666, No!,1
667," [singing] Bravely ran away, away.",2
668, I didn't!,1
669," [singing] When danger reared its ugly head, he bravely turned his tail and fled.",2
670, No!,1
671," [singing] Yes, brave Sir Robin turned about",2
672, I didn't!,1
673," [singing] And gallantly, he chickened out.",2
674,"Bravely taking to his feet,",2
675, I never did!,1
676, [singing],0
677,"He beat a very brave retreat,",1
678, All lies!,1
679," [singing] Bravest of the brave, Sir Robin.",2
680, I never!,1
681," [chanting] Pie Iesu domine, dona eis requiem.",0
682, Heh heh heeh ooh...,0
683," [chanting] Pie Iesu domine,...",0
684, Wayy!,0
685,"Ho ho. Woa, wayy!",0
686,Heh heh heh heh ho! Heh heh heh!,0
687, [chanting] ...dona eis requiem.,0
688, Wayy!,0
689,Wayy!,0
690," [whispering] Forgive me, for I have sinned.",4
691, Oh! Oooo.,0
692, The Oral Sects or Sir Gallahad Faces Peril Valiantly,0
693,The Tale of Sir Galahad.,0
694, Open the door! Open the door!,3
695,"In the name of King Arthur, open the door!",3
696, Hello!,4
697," Welcome, gentle Sir Knight.",4
698,Welcome to the Castle Anthrax.,4
699, The Castle Anthrax?,3
700," Yes. Oh, it's not a very good name, is it?",3
701,"Oh, but we are nice and we will attend to your every, every need!",4
702, You are the keepers of the Holy Grail?,3
703, The what?,3
704," The Grail, it is here.",3
705," Oh, but you are tired and you must rest awhile.",4
706,Midget!,3
707,Crapper!,3
708," Yes, O Zoot?",3
709, Prepare a bed for our guest.,4
710," Oh, thank you!",4
711,Thank you!,4
712,Thank you!,4
713,Thank you!,4
714,Thank you!,4
715,Thank you!...,4
716, Away!,1
717,"Away, varletesses.",1
718,"The beds here are warm and soft and very, very big.",4
719," Well, look, I-- I, uh--",3
720," What is your name, handsome knight?",3
721, 'Sir Galahad... the Chaste'.,3
722, Mine is 'Zoot'.,3
723,Just 'Zoot'.,3
724,"Oh, but come.",3
725," Look, please!",3
726,"In God's name, show me the Grail!",3
727," Oh, you have suffered much.",1
728,You are delirious.,1
729," No, look. I have seen it!",3
730,It is here in this--,3
731, Sir Galahad!,3
732,You would not be so ungallant as to refuse our hospitality.,1
733," Well, I-- I, uh--",3
734," Oh, I am afraid our life must seem very dull and quiet compared to yours.",1
735,"We are but eight score young blondes and brunettes, all between sixteen and nineteen-and-a-half, cut off in this castle with no one to protect us.",1
736,Oooh.,5
737," bathing, dressing, undressing, knitting exciting underwear.",1
738,We are just not used to handsome knights.,1
739,"Nay, Nay.",1
740,"Come, Come.",3
741,You may lie here.,4
742,"Oh, but you are wounded!",1
743," No, no.",1
744,It's-- it's nothing.,1
745," Oh, you must see the doctors immediately!",3
746,"No, no, please!",1
747,Lie down.,3
748," Well, what seems to be the trouble?",3
749, They're doctors?!,3
750," Uh, they... have a basic medical training, yes.",4
751, B-- but--,3
752," Oh, come. Come. You must try to rest.",4
753,Doctor Piglet!,3
754,Doctor Winston!,3
755,Practise your art.,3
756, Try to relax.,4
757, Are you sure that's absolutely necessary?,3
758, We must examine you.,3
759, There's nothing wrong with that!,1
760, Please.,3
761,We are doctors.,3
762, Look!,3
763,This cannot be.,1
764,I am sworn to chastity.,3
765, Back to your bed! At once!,1
766, Torment me no longer. I have seen the Grail!,1
767, There's no grail here.,1
768, I have seen it!,4
769,I have seen it!,4
770,I have seen--,4
771, Hello.,4
772, Oh.,5
773, Hello.,4
774,Hello.,4
775,Hello.,4
776,Hello.,4
777,Hello.,4
778,Hello.,4
779,Hello.,4
780,Hello.,4
781,Hello.,4
782,Hello.,4
783,Hello.,4
784,Hello.,4
785,Hello.,4
786,Hello.,4
787,Hello.,4
788,Hello.,4
789,Hello.,4
790,Hello.,4
791,Hello.,4
792,Hello.,4
793,Hello.,4
794,Hello.,4
795,Hello.,4
796, Zoot!,5
797," No, I am Zoot's identical twin sister, Dingo.",1
798," Oh, well, excuse me, I--",3
799, Where are you going?,3
800, I seek the Grail!,4
801,"I have seen it, here in this castle!",4
802," Oh, no. Oh, no!",1
803,"Bad, bad Zoot!",1
804," Well, what is it?",3
805," Oh, wicked, bad, naughty Zoot!",1
806,"She has been setting alight to our beacon, which, I have just remembered, is grail-shaped.",1
807,It's not the first time we've had this problem.,1
808, It's not the real Grail?,3
809," Oh, wicked, bad, naughty, evil Zoot!",1
810,She is a bad person and must pay the penalty!,1
811,Do you think this scene should have been cut?,2
812,"We were so worried when the boys were writing it, but now, we're glad.",2
813,"It's better than some of the previous scenes, I think.",2
814, At least ours was better visually.,2
815," Well, at least ours was committed.",2
816,It wasn't just a string of pussy jokes.,2
817, Get on with it.,1
818," Yes, get on with it!",1
819," Yes, get on with it!",1
820," Oh, I am enjoying this scene.",4
821, Get on with it!,1
822, [sigh],0
823,"Oh, wicked, wicked Zoot.",1
824,"Oh, she is a naughty person and she must pay the penalty,",1
825,,1
826,you must tie her down on a bed and spank her.,1
827, A spanking!,5
828,A spanking!,5
829," You must spank her well, and after you have spanked her, you may deal with her as you like,",1
830,"and then, spank me.",1
831, And spank me.,3
832, And me.,3
833, And me.,3
834, Yes.,4
835,"Yes, you must give us all a good spanking!",4
836, A spanking!,3
837,A spanking!,3
838,There is going to be a spanking tonight!,4
839," And after the spanking, the oral sex.",4
840, The oral sex!,4
841,The oral sex!,4
842," Well, I could stay a bit longer.",4
843, Sir Galahad!,3
844," Oh, hello.",4
845, Quick!,3
846, What?,3
847, Quick!,3
848, Why?,3
849, You are in great peril!,1
850," No, he isn't.",1
851," Silence, foul temptress!",1
852," You know, she's got a point.",4
853, Come on!,3
854,We will cover your escape!,1
855," Look, I'm fine!",4
856, Come on!,3
857, Sir Galahad!,3
858, No.,1
859,"Look, I can tackle this lot single-handed!",1
860, Yes!,4
861,Let him tackle us single-handed!,4
862, Yes!,4
863,Let him tackle us single-handed!,4
864," No, Sir Galahad. Come on!",1
865, No!,1
866,Really!,5
867,"Honestly, I can cope.",4
868,I can handle this lot easily.,4
869," Oh, yes.",4
870,Let him handle us easily.,4
871, Yes.,4
872,Let him handle us easily.,4
873, No.,1
874,Quick!,3
875,Quick!,3
876, Please!,1
877,I can defeat them!,4
878,There's only a hundred-and-fifty of them!,2
879, Yes!,4
880,"Yes, he will beat us easily!",1
881,We haven't a chance.,1
882, We haven't a chance.,1
883,He will beat us easily...,1
884," Oh, shit.",1
885, We were in the nick of time.,4
886,You were in great peril.,1
887, I don't think I was.,1
888," Yes, you were.",4
889,You were in terrible peril.,1
890," Look, let me go back in there and face the peril.",1
891," No, it's too perilous.",1
892," Look, it's my duty as a knight to sample as much peril as I can.",2
893," No, we've got to find the Holy Grail.",1
894,Come on!,3
895," Oh, let me have just a little bit of peril?",4
896, No.,1
897,It's unhealthy.,1
898, I bet you're gay.,2
899," No, I'm not.",1
900," Sir Lancelot had saved Sir Galahad from almost certain temptation, but they were still no nearer the Grail.",0
901,"Meanwhile, King Arthur and Sir Bedevere, not more than a swallow's flight away, had discovered something.",4
902,"Oh, that's an unladen swallow's flight, obviously.",4
903,"I mean, they were more than two laden swallows' flights away--",4
904,"four, really, if they had a coconut on a line between them.",4
905,"I mean, if the birds were walking and dragging--",4
906, Get on with it!,1
907," Oh, anyway.",0
908,"On to scene twenty-four, which is a smashing scene with some lovely acting, in which Arthur discovers a vital clue,",0
