PhraseID,SentenceID,Sentence
35,35,"['[', '``', 'It', ""'s"", 'a', 'simple', 'question', 'of', 'weight', 'ratios', '!', ""''"", ']']"
36,36,"['[', ""'"", 'A', 'five', 'ounce', 'bird', 'could', 'not', 'carry', 'a', 'one', 'pound', 'coconut', '.', ""'"", ']']"
37,37,"['[', '``', 'ARTHUR', ':', 'Well', ',', 'it', 'does', ""n't"", 'matter', '.', ""''"", ']']"
38,38,"['[', ""'Will"", 'you', 'go', 'and', 'tell', 'your', 'master', 'that', 'Arthur', 'from', 'the', 'Court', 'of', 'Camelot', 'is', 'here', '?', ""'"", ']']"
39,39,"['[', ""'SOLDIER"", '#', '1', ':', 'Listen', '.', ""'"", ']']"
40,40,"['[', ""'In"", 'order', 'to', 'maintain', 'air-speed', 'velocity', ',', 'a', 'swallow', 'needs', 'to', 'beat', 'its', 'wings', 'forty-three', 'times', 'every', 'second', ',', 'right', '?', ""'"", ']']"
41,41,"['[', ""'ARTHUR"", ':', 'Please', '!', ""'"", ']']"
42,42,"['[', ""'SOLDIER"", '#', '1', ':', 'Am', 'I', 'right', '?', ""'"", ']']"
43,43,"['[', '``', 'ARTHUR', ':', 'I', ""'m"", 'not', 'interested', '!', ""''"", ']']"
44,44,"['[', ""'SOLDIER"", '#', '2', ':', 'It', 'could', 'be', 'carried', 'by', 'an', 'African', 'swallow', '!', ""'"", ']']"
45,45,"['[', ""'SOLDIER"", '#', '1', ':', 'Oh', ',', 'yeah', ',', 'an', 'African', 'swallow', 'maybe', ',', 'but', 'not', 'a', 'European', 'swallow', '.', ""'"", ']']"
46,46,"['[', '``', 'That', ""'s"", 'my', 'point', '.', ""''"", ']']"
47,47,"['[', ""'SOLDIER"", '#', '2', ':', 'Oh', ',', 'yeah', ',', 'I', 'agree', 'with', 'that', '.', ""'"", ']']"
48,48,"['[', ""'ARTHUR"", ':', 'Will', 'you', 'ask', 'your', 'master', 'if', 'he', 'wants', 'to', 'join', 'my', 'court', 'at', 'Camelot', '?', ""'"", ',', ""'"", '!', ""'"", ']']"
49,49,"['[', ""'SOLDIER"", '#', '1', ':', 'But', 'then', 'of', 'course', ',', 'uh', ',', 'African', 'swallows', 'are', 'non-migratory', '.', ""'"", ']']"
50,50,"['[', ""'SOLDIER"", '#', '2', ':', 'Oh', ',', 'yeah', '.', ""'"", ']']"
51,51,"['[', '``', 'SOLDIER', '#', '1', ':', 'So', ',', 'they', 'could', ""n't"", 'bring', 'a', 'coconut', 'back', 'anyway', '.', ""''"", ']']"
52,52,"['[', ""'"", '[', 'clop', 'clop', 'clop', ']', ""'"", ']']"
53,53,"['[', ""'SOLDIER"", '#', '2', ':', 'Wait', 'a', 'minute', '!', ""'"", ']']"
54,54,"['[', ""'Supposing"", 'two', 'swallows', 'carried', 'it', 'together', '?', ""'"", ']']"
55,55,"['[', '``', 'SOLDIER', '#', '1', ':', 'No', ',', 'they', ""'d"", 'have', 'to', 'have', 'it', 'on', 'a', 'line', '.', ""''"", ']']"
56,56,"['[', ""'SOLDIER"", '#', '2', ':', 'Well', ',', 'simple', '!', ""'"", ',', '``', 'They', ""'d"", 'just', 'use', 'a', 'strand', 'of', 'creeper', '!', ""''"", ']']"
57,57,"['[', ""'SOLDIER"", '#', '1', ':', 'What', ',', 'held', 'under', 'the', 'dorsal', 'guiding', 'feathers', '?', ""'"", ']']"
58,58,"['[', ""'SOLDIER"", '#', '2', ':', 'Well', ',', 'why', 'not', '?', ""'"", ']']"
59,59,"['[', ']']"
60,60,"['[', ""'SCENE"", '2', ':', 'Just', 'Die', 'Already', ""'"", ']']"
61,61,"['[', ""'"", '[', 'thud', ']', ""'"", ']']"
62,62,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
63,63,"['[', ""'CART"", 'MASTER', ':', 'Bring', 'out', 'your', 'dead', '!', ""'"", ']']"
64,64,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
65,65,"['[', ""'Bring"", 'out', 'your', 'dead', '!', ""'"", ']']"
66,66,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
67,67,"['[', ""'Bring"", 'out', 'your', 'dead', '!', ""'"", ']']"
68,68,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
69,69,"['[', ""'Bring"", 'out', 'your', 'dead', '!', ""'"", ']']"
70,70,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
71,71,"['[', ""'Bring"", 'out', 'your', 'dead', '!', ""'"", ']']"
72,72,"['[', ""'"", '[', 'cough', 'cough', '...', ']', ""'"", ']']"
73,73,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
74,74,"['[', ""'"", '[', '...', 'cough', 'cough', ']', ""'"", ']']"
75,75,"['[', ""'Bring"", 'out', 'your', 'dead', '!', ""'"", ']']"
76,76,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
77,77,"['[', ""'Bring"", 'out', 'your', 'dead', '!', ""'"", ']']"
78,78,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
79,79,"['[', ""'Bring"", 'out', 'your', 'dead', '!', ""'"", ',', ""'Nine"", 'pence', '.', ""'"", ']']"
80,80,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
81,81,"['[', ""'Bring"", 'out', 'your', 'dead', '!', ""'"", ']']"
82,82,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
83,83,"['[', ""'Bring"", 'out', 'your', 'dead', '!', ""'"", ']']"
84,84,"['[', ""'"", '[', 'clang', ']', 'Bring', 'out', '...', ""'"", ']']"
85,85,"['[', ""'"", '[', 'rewr', '!', ']', ""'"", ',', ""'"", '...', 'your', 'dead', '!', ""'"", ']']"
86,86,"['[', ""'"", '[', 'rewr', '!', ']', ""'"", ']']"
87,87,"['[', ""'"", '[', 'clang', ']', ""'"", ']']"
88,88,"['[', ""'Bring"", 'out', 'your', 'dead', '!', ""'"", ']']"
89,89,"['[', '``', 'CUSTOMER', ':', 'Here', ""'s"", 'one', '.', ""''"", ']']"
90,90,"['[', ""'CART"", 'MASTER', ':', 'Nine', 'pence', '.', ""'"", ']']"
91,91,"['[', '``', 'DEAD', 'PERSON', ':', 'I', ""'m"", 'not', 'dead', '!', ""''"", ']']"
92,92,"['[', ""'CART"", 'MASTER', ':', 'What', '?', ""'"", ']']"
93,93,"['[', ""'CUSTOMER"", ':', 'Nothing', '.', ""'"", ',', '``', 'Here', ""'s"", 'your', 'nine', 'pence', '.', ""''"", ']']"
94,94,"['[', '``', 'DEAD', 'PERSON', ':', 'I', ""'m"", 'not', 'dead', '!', ""''"", ']']"
95,95,"['[', '``', 'CART', 'MASTER', ':', ""'Ere"", '.', ""''"", ']']"
96,96,"['[', '``', 'He', 'says', 'he', ""'s"", 'not', 'dead', '!', ""''"", ']']"
97,97,"['[', ""'CUSTOMER"", ':', 'Yes', ',', 'he', 'is', '.', ""'"", ']']"
98,98,"['[', '``', 'DEAD', 'PERSON', ':', 'I', ""'m"", 'not', '!', ""''"", ']']"
99,99,"['[', '``', 'CART', 'MASTER', ':', 'He', 'is', ""n't"", '?', ""''"", ']']"
100,100,"['[', ""'CUSTOMER"", ':', 'Well', ',', 'he', 'will', 'be', 'soon', '.', ""'"", ']']"
101,101,"['[', '``', 'He', ""'s"", 'very', 'ill', '.', ""''"", ']']"
102,102,"['[', '``', 'DEAD', 'PERSON', ':', 'I', ""'m"", 'getting', 'better', '!', ""''"", ']']"
103,103,"['[', '``', 'CUSTOMER', ':', 'No', ',', 'you', ""'re"", 'not', '.', ""''"", ']']"
104,104,"['[', '``', 'You', ""'ll"", 'be', 'stone', 'dead', 'in', 'a', 'moment', '.', ""''"", ']']"
105,105,"['[', '``', 'CART', 'MASTER', ':', 'Oh', ',', 'I', 'ca', ""n't"", 'take', 'him', 'like', 'that', '.', ""''"", ']']"
106,106,"['[', '``', 'It', ""'s"", 'against', 'regulations', '.', ""''"", ']']"
107,107,"['[', '``', 'DEAD', 'PERSON', ':', 'I', 'do', ""n't"", 'want', 'to', 'go', 'on', 'the', 'cart', '!', ""''"", ']']"
108,108,"['[', '``', 'CUSTOMER', ':', 'Oh', ',', 'do', ""n't"", 'be', 'such', 'a', 'baby', '.', ""''"", ']']"
109,109,"['[', '``', 'CART', 'MASTER', ':', 'I', 'ca', ""n't"", 'take', 'him', '.', ""''"", ']']"
110,110,"['[', ""'DEAD"", 'PERSON', ':', 'I', 'feel', 'fine', '!', ""'"", ']']"
111,111,"['[', ""'CUSTOMER"", ':', 'Well', ',', 'do', 'us', 'a', 'favor', '.', ""'"", ']']"
112,112,"['[', '``', 'CART', 'MASTER', ':', 'I', 'ca', ""n't"", '.', ""''"", ']']"
113,113,"['[', ""'CUSTOMER"", ':', 'Well', ',', 'can', 'you', 'hang', 'around', 'a', 'couple', 'of', 'minutes', '?', ""'"", ']']"
114,114,"['[', '``', 'He', 'wo', ""n't"", 'be', 'long', '.', ""''"", ']']"
115,115,"['[', '``', 'CART', 'MASTER', ':', 'No', ',', 'I', ""'ve"", 'got', 'to', 'go', 'to', 'the', 'Robinsons', ""'"", '.', ""''"", ']']"
116,116,"['[', '``', 'They', ""'ve"", 'lost', 'nine', 'today', '.', ""''"", ']']"
117,117,"['[', '``', 'CUSTOMER', ':', 'Well', ',', 'when', ""'s"", 'your', 'next', 'round', '?', ""''"", ']']"
118,118,"['[', ""'CART"", 'MASTER', ':', 'Thursday', '.', ""'"", ']']"
119,119,"['[', '``', 'DEAD', 'PERSON', ':', 'I', 'think', 'I', ""'ll"", 'go', 'for', 'a', 'walk', '.', ""''"", ']']"
120,120,"['[', '``', 'CUSTOMER', ':', 'You', ""'re"", 'not', 'fooling', 'anyone', ',', 'you', 'know', '.', ""''"", ']']"
121,121,"['[', '``', 'Look', ',', 'is', ""n't"", 'there', 'something', 'you', 'can', 'do', '?', ""''"", ']']"
122,122,"['[', ""'DEAD"", 'PERSON', ':', '[', 'singing', ']', 'I', 'feel', 'happy', '.', ""'"", ']']"
123,123,"['[', ""'"", 'I', 'feel', 'happy', '.', ""'"", ']']"
124,124,"['[', ""'"", '[', 'whop', ']', ""'"", ']']"
125,125,"['[', ""'CUSTOMER"", ':', 'Ah', ',', 'thanks', 'very', 'much', '.', ""'"", ']']"
126,126,"['[', ""'CART"", 'MASTER', ':', 'Not', 'at', 'all', '.', ""'"", ']']"
127,127,"['[', ""'See"", 'you', 'on', 'Thursday', '.', ""'"", ']']"
128,128,"['[', ""'CUSTOMER"", ':', 'Right', ',', 'all', 'right', '.', ""'"", ']']"
129,129,"['[', ""'"", '[', 'howl', ']', ""'"", ']']"
130,130,"['[', ""'"", '[', 'clop', 'clop', 'clop', ']', ""'"", ']']"
131,131,"['[', '``', 'Who', ""'s"", 'that', ',', 'then', '?', ""''"", ']']"
132,132,"['[', ""'CART"", 'MASTER', ':', 'I', 'dunno', '.', ""'"", ']']"
133,133,"['[', ""'Must"", 'be', 'a', 'king', '.', ""'"", ']']"
134,134,"['[', ""'CUSTOMER"", ':', 'Why', '?', ""'"", ']']"
135,135,"['[', '``', 'CART', 'MASTER', ':', 'He', 'has', ""n't"", 'got', 'shit', 'all', 'over', 'him', '.', ""''"", ']']"
136,136,"['[', ']']"
137,137,"['[', ""'SCENE"", '3', ':', 'Repression', 'is', 'Nine', 'Tenths', 'of', 'the', 'Law', '?', ""'"", ']']"
138,138,"['[', ""'"", '[', 'thud', ']', ""'"", ']']"
139,139,"['[', ""'"", '[', 'King', 'Arthur', 'music', ']', ""'"", ']']"
140,140,"['[', ""'"", '[', 'thud', 'thud', 'thud', ']', ""'"", ']']"
141,141,"['[', ""'"", '[', 'King', 'Arthur', 'music', 'stops', ']', ""'"", ']']"
142,142,"['[', ""'ARTHUR"", ':', 'Old', 'woman', '!', ""'"", ']']"
143,143,"['[', ""'DENNIS"", ':', 'Man', '!', ""'"", ']']"
144,144,"['[', ""'ARTHUR"", ':', 'Man', '.', ""'"", ']']"
145,145,"['[', ""'Sorry"", ',', 'what', 'knight', 'lives', 'in', 'that', 'castle', 'over', 'there', '?', ""'"", ']']"
146,146,"['[', '``', 'DENNIS', ':', 'I', ""'m"", 'thirty-seven', '.', ""''"", ']']"
147,147,"['[', ""'ARTHUR"", ':', 'I', '--', 'what', '?', ""'"", ']']"
148,148,"['[', '``', 'DENNIS', ':', 'I', ""'m"", 'thirty-seven', '.', ""''"", ']']"
149,149,"['[', '``', 'I', ""'m"", 'not', 'old', '.', ""''"", ']']"
150,150,"['[', '``', 'ARTHUR', ':', 'Well', ',', 'I', 'ca', ""n't"", 'just', 'call', 'you', ""'Man"", ""'"", '.', ""''"", ']']"
151,151,"['[', '``', 'DENNIS', ':', 'Well', ',', 'you', 'could', 'say', ""'Dennis"", ""'"", '.', ""''"", ']']"
152,152,"['[', '``', 'ARTHUR', ':', 'Well', ',', 'I', 'did', ""n't"", 'know', 'you', 'were', 'called', ""'Dennis"", ""'"", '.', ""''"", ']']"
153,153,"['[', '``', 'DENNIS', ':', 'Well', ',', 'you', 'did', ""n't"", 'bother', 'to', 'find', 'out', ',', 'did', 'you', '?', ""''"", ']']"
154,154,"['[', '``', 'ARTHUR', ':', 'I', 'did', 'say', ""'sorry"", ""'"", 'about', 'the', ""'old"", 'woman', ""'"", ',', 'but', 'from', 'the', 'behind', 'you', 'looked', '--', ""''"", ']']"
155,155,"['[', ""'DENNIS"", ':', 'What', 'I', 'object', 'to', 'is', 'that', 'you', 'automatically', 'treat', 'me', 'like', 'an', 'inferior', '!', ""'"", ']']"
156,156,"['[', ""'ARTHUR"", ':', 'Well', ',', 'I', 'am', 'King', '!', ""'"", ']']"
157,157,"['[', ""'DENNIS"", ':', 'Oh', ',', 'King', ',', 'eh', ',', 'very', 'nice', '.', ""'"", ']']"
158,158,"['[', '``', 'And', 'how', ""d'you"", 'get', 'that', ',', 'eh', '?', ""''"", ']']"
159,159,"['[', ""'By"", 'exploiting', 'the', 'workers', '?', ""'"", ']']"
160,160,"['[', '``', 'By', ""'anging"", 'on', 'to', 'outdated', 'imperialist', 'dogma', 'which', 'perpetuates', 'the', 'economic', 'and', 'social', 'differences', 'in', 'our', 'society', '?', ""''"", ']']"
161,161,"['[', '``', 'If', 'there', ""'s"", 'ever', 'going', 'to', 'be', 'any', 'progress', 'with', 'the', '--', ""''"", ']']"
162,162,"['[', '``', 'WOMAN', ':', 'Dennis', ',', 'there', ""'s"", 'some', 'lovely', 'filth', 'down', 'here', '.', ""''"", ']']"
163,163,"['[', ""'Oh"", '!', ""'"", ',', '``', 'How', ""d'you"", 'do', '?', ""''"", ']']"
164,164,"['[', ""'ARTHUR"", ':', 'How', 'do', 'you', 'do', ',', 'good', 'lady', '?', ""'"", ']']"
165,165,"['[', ""'"", 'I', 'am', 'Arthur', ',', 'King', 'of', 'the', 'Britons', '.', ""'"", ']']"
166,166,"['[', '``', 'Who', ""'s"", 'castle', 'is', 'that', '?', ""''"", ']']"
167,167,"['[', ""'WOMAN"", ':', 'King', 'of', 'the', 'who', '?', ""'"", ']']"
168,168,"['[', ""'ARTHUR"", ':', 'The', 'Britons', '.', ""'"", ']']"
169,169,"['[', ""'WOMAN"", ':', 'Who', 'are', 'the', 'Britons', '?', ""'"", ']']"
170,170,"['[', ""'ARTHUR"", ':', 'Well', ',', 'we', 'all', 'are', '.', ""'"", ']']"
171,171,"['[', ""'We"", 'are', 'all', 'Britons', ',', 'and', 'I', 'am', 'your', 'king', '.', ""'"", ']']"
172,172,"['[', '``', 'WOMAN', ':', 'I', 'did', ""n't"", 'know', 'we', 'had', 'a', 'king', '.', ""''"", ']']"
173,173,"['[', ""'"", 'I', 'thought', 'we', 'were', 'an', 'autonomous', 'collective', '.', ""'"", ']']"
174,174,"['[', '``', 'DENNIS', ':', 'You', ""'re"", 'fooling', 'yourself', '.', ""''"", ']']"
175,175,"['[', '``', 'We', ""'re"", 'living', 'in', 'a', 'dictatorship', ',', 'a', 'self-perpetuating', 'autocracy', 'in', 'which', 'the', 'working', 'classes', '--', ""''"", ']']"
176,176,"['[', ""'WOMAN"", ':', 'Oh', ',', 'there', 'you', 'go', 'bringing', 'class', 'into', 'it', 'again', '.', ""'"", ']']"
177,177,"['[', '``', 'DENNIS', ':', 'That', ""'s"", 'what', 'it', ""'s"", 'all', 'about', '.', ""''"", ']']"
178,178,"['[', ""'If"", 'only', 'people', 'would', 'hear', 'of', '--', ""'"", ']']"
179,179,"['[', ""'ARTHUR"", ':', 'Please', '!', ""'"", ',', ""'Please"", ',', 'good', 'people', '.', ""'"", ']']"
180,180,"['[', ""'"", 'I', 'am', 'in', 'haste', '.', ""'"", ']']"
181,181,"['[', ""'Who"", 'lives', 'in', 'that', 'castle', '?', ""'"", ']']"
182,182,"['[', ""'WOMAN"", ':', 'No', 'one', 'lives', 'there', '.', ""'"", ']']"
183,183,"['[', ""'ARTHUR"", ':', 'Then', 'who', 'is', 'your', 'lord', '?', ""'"", ']']"
184,184,"['[', '``', 'WOMAN', ':', 'We', 'do', ""n't"", 'have', 'a', 'lord', '.', ""''"", ']']"
185,185,"['[', ""'ARTHUR"", ':', 'What', '?', ""'"", ']']"
186,186,"['[', ""'DENNIS"", ':', 'I', 'told', 'you', '.', ""'"", ']']"
187,187,"['[', '``', 'We', ""'re"", 'an', 'anarcho-syndicalist', 'commune', '.', ""''"", ']']"
188,188,"['[', ""'We"", 'take', 'it', 'in', 'turns', 'to', 'act', 'as', 'a', 'sort', 'of', 'executive', 'officer', 'for', 'the', 'week', ',', '...', ""'"", ']']"
189,189,"['[', ""'ARTHUR"", ':', 'Yes', '.', ""'"", ']']"
190,190,"['[', ""'DENNIS"", ':', '...', 'but', 'all', 'the', 'decisions', 'of', 'that', 'officer', 'have', 'to', 'be', 'ratified', 'at', 'a', 'special', 'bi-weekly', 'meeting', '...', ""'"", ']']"
191,191,"['[', ""'ARTHUR"", ':', 'Yes', ',', 'I', 'see', '.', ""'"", ']']"
192,192,"['[', ""'DENNIS"", ':', '...', 'by', 'a', 'simple', 'majority', 'in', 'the', 'case', 'of', 'purely', 'internal', 'affairs', ',', '...', ""'"", ']']"
193,193,"['[', ""'ARTHUR"", ':', 'Be', 'quiet', '!', ""'"", ']']"
194,194,"['[', ""'DENNIS"", ':', '...', 'but', 'by', 'a', 'two-thirds', 'majority', 'in', 'the', 'case', 'of', 'more', 'major', '--', ""'"", ']']"
195,195,"['[', ""'ARTHUR"", ':', 'Be', 'quiet', '!', ""'"", ']']"
196,196,"['[', ""'"", 'I', 'order', 'you', 'to', 'be', 'quiet', '!', ""'"", ']']"
197,197,"['[', ""'WOMAN"", ':', 'Order', ',', 'eh', '?', ""'"", ']']"
198,198,"['[', ""'Who"", 'does', 'he', 'think', 'he', 'is', '?', ""'"", ']']"
199,199,"['[', ""'Heh"", '.', ""'"", ']']"
200,200,"['[', ""'ARTHUR"", ':', 'I', 'am', 'your', 'king', '!', ""'"", ']']"
201,201,"['[', '``', 'WOMAN', ':', 'Well', ',', 'I', 'did', ""n't"", 'vote', 'for', 'you', '.', ""''"", ']']"
202,202,"['[', '``', 'ARTHUR', ':', 'You', 'do', ""n't"", 'vote', 'for', 'kings', '.', ""''"", ']']"
203,203,"['[', ""'WOMAN"", ':', 'Well', ',', 'how', 'did', 'you', 'become', 'King', ',', 'then', '?', ""'"", ']']"
204,204,"['[', ""'ARTHUR"", ':', 'The', 'Lady', 'of', 'the', 'Lake', ',', '...', ""'"", ']']"
205,205,"['[', ""'"", '[', 'angels', 'sing', ']', ""'"", ']']"
206,206,"['[', ""'"", '...', 'her', 'arm', 'clad', 'in', 'the', 'purest', 'shimmering', 'samite', ',', 'held', 'aloft', 'Excalibur', 'from', 'the', 'bosom', 'of', 'the', 'water', 'signifying', 'by', 'Divine', 'Providence', 'that', 'I', ',', 'Arthur', ',', 'was', 'to', 'carry', 'Excalibur', '.', ""'"", ']']"
207,207,"['[', ""'"", '[', 'singing', 'stops', ']', ""'"", ']']"
208,208,"['[', ""'That"", 'is', 'why', 'I', 'am', 'your', 'king', '!', ""'"", ']']"
209,209,"['[', ""'DENNIS"", ':', 'Listen', '.', ""'"", ']']"
210,210,"['[', ""'Strange"", 'women', 'lying', 'in', 'ponds', 'distributing', 'swords', 'is', 'no', 'basis', 'for', 'a', 'system', 'of', 'government', '.', ""'"", ']']"
211,211,"['[', ""'Supreme"", 'executive', 'power', 'derives', 'from', 'a', 'mandate', 'from', 'the', 'masses', ',', 'not', 'from', 'some', 'farcical', 'aquatic', 'ceremony', '.', ""'"", ']']"
212,212,"['[', ""'ARTHUR"", ':', 'Be', 'quiet', '!', ""'"", ']']"
213,213,"['[', '``', 'DENNIS', ':', 'Well', ',', 'but', 'you', 'ca', ""n't"", 'expect', 'to', 'wield', 'supreme', 'executive', 'power', 'just', ""'cause"", 'some', 'watery', 'tart', 'threw', 'a', 'sword', 'at', 'you', '!', ""''"", ']']"
214,214,"['[', ""'ARTHUR"", ':', 'Shut', 'up', '!', ""'"", ']']"
215,215,"['[', '``', 'DENNIS', ':', 'I', 'mean', ',', 'if', 'I', 'went', ""'round"", 'saying', 'I', 'was', 'an', 'emperor', 'just', 'because', 'some', 'moistened', 'bint', 'had', 'lobbed', 'a', 'scimitar', 'at', 'me', ',', 'they', ""'d"", 'put', 'me', 'away', '!', ""''"", ']']"
216,216,"['[', ""'ARTHUR"", ':', 'Shut', 'up', ',', 'will', 'you', '?', ""'"", ']']"
217,217,"['[', ""'Shut"", 'up', '!', ""'"", ']']"
218,218,"['[', ""'DENNIS"", ':', 'Ah', ',', 'now', 'we', 'see', 'the', 'violence', 'inherent', 'in', 'the', 'system', '.', ""'"", ']']"
219,219,"['[', ""'ARTHUR"", ':', 'Shut', 'up', '!', ""'"", ']']"
220,220,"['[', ""'DENNIS"", ':', 'Oh', '!', ""'"", ']']"
221,221,"['[', ""'Come"", 'and', 'see', 'the', 'violence', 'inherent', 'in', 'the', 'system', '!', ""'"", ']']"
222,222,"['[', ""'Help"", '!', ""'"", ']']"
223,223,"['[', ""'Help"", '!', ""'"", ']']"
224,224,"['[', '``', 'I', ""'m"", 'being', 'repressed', '!', ""''"", ']']"
225,225,"['[', ""'ARTHUR"", ':', 'Bloody', 'peasant', '!', ""'"", ']']"
226,226,"['[', ""'DENNIS"", ':', 'Oh', ',', 'what', 'a', 'give-away', '.', ""'"", ']']"
227,227,"['[', ""'Did"", 'you', 'hear', 'that', '?', ""'"", ',', ""'Did"", 'you', 'hear', 'that', ',', 'eh', '?', ""'"", ']']"
228,228,"['[', '``', 'That', ""'s"", 'what', 'I', ""'m"", 'on', 'about', '.', ""''"", ']']"
229,229,"['[', ""'Did"", 'you', 'see', 'him', 'repressing', 'me', '?', ""'"", ']']"
230,230,"['[', '``', 'You', 'saw', 'it', ',', 'did', ""n't"", 'you', '?', ""''"", ']']"
231,231,"['[', ']']"
232,232,"['[', ""'SCENE"", '4', ':', 'Arthur', 'Meets', 'a', 'Brave', 'Knight', '...', 'and', 'Cuts', 'His', 'Limbs', 'Off', ""'"", ']']"
233,233,"['[', ""'"", '[', 'King', 'Arthur', 'music', ']', ""'"", ']']"
234,234,"['[', ""'"", '[', 'music', 'stops', ']', ""'"", ']']"
